City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
272,Wuda,CN,39.4994,106.7117,89.94,18,8,10.74,clear sky
273,Palm Coast,US,29.585,-81.2078,82.62,70,75,5.99,broken clouds
274,Zhigansk,RU,66.7697,123.3711,75.85,29,30,6.73,scattered clouds
275,Acopiara,BR,-6.0953,-39.4525,72.25,49,99,5.91,overcast clouds
276,Aklavik,CA,68.2191,-135.0107,74.23,49,79,14.34,broken clouds
277,Siilinjarvi,FI,63.0833,27.6667,59.02,94,75,2.3,light intensity shower rain
278,Naifaru,MV,5.4444,73.3657,81.95,76,96,9.73,overcast clouds
279,Bani,DO,18.2833,-70.3333,78.75,84,16,9.53,few clouds
280,Bam,IR,29.106,58.357,89.69,18,62,9.75,broken clouds
281,Lethem,GY,3.3803,-59.7968,73.24,92,42,3.71,scattered clouds
282,Wairoa,NZ,-39.0333,177.3667,54.55,88,33,1.99,scattered clouds
283,Murchison,NZ,-41.8,172.3333,59.34,70,58,0.65,broken clouds
284,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,14.97,broken clouds
285,Lahij,YE,13.1667,44.5833,77.99,71,86,3.38,overcast clouds
286,Chumikan,RU,54.7183,135.315,49.08,93,100,18.07,light rain
287,Egvekinot,RU,66.3167,-179.1667,35.89,95,100,6.26,overcast clouds
288,Leningradskiy,RU,69.3833,178.4167,33.26,91,98,15.59,overcast clouds
289,Trat,TH,12.5,102.5,86.2,84,94,11.16,overcast clouds
290,Srednekolymsk,RU,67.45,153.6833,54.54,49,100,16.46,overcast clouds
291,Calamar,CO,10.2511,-74.9146,82.35,89,95,5.12,overcast clouds
292,Turbat,PK,26.0023,63.044,85.46,68,16,3.67,few clouds
293,Misratah,LY,32.3754,15.0925,81.88,48,0,8.55,clear sky
294,Florida,US,28.7505,-82.5001,82.38,64,55,7.56,broken clouds
295,Nome,US,64.5011,-165.4064,52.16,93,90,10.36,light rain
296,Veraval,IN,20.9,70.3667,82.51,83,100,20.54,overcast clouds
297,Tuy Hoa,VN,13.0833,109.3,95.4,45,73,14.65,broken clouds
298,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
299,Rio Grande,BR,-32.035,-52.0986,47.26,82,0,8.7,light rain
300,Guerrero Negro,MX,27.9769,-114.0611,72.36,80,25,9.89,scattered clouds
301,Nuuk,GL,64.1835,-51.7216,48.81,81,61,8.05,broken clouds
302,Yushan,CN,31.3776,120.9543,91.94,68,40,0.65,light rain
303,Kalabo,ZM,-14.97,22.6814,49.53,65,10,6.08,clear sky
304,Rolla,US,37.9514,-91.7713,80.74,85,1,3.0,clear sky
305,Shaunavon,CA,49.6501,-108.4181,73.18,36,1,8.55,clear sky
306,Maningrida,AU,-12.0667,134.2667,88.05,45,29,13.42,scattered clouds
307,Chilliwack,CA,49.1747,-121.9443,89.65,43,0,3.44,clear sky
308,Broome,US,42.2506,-75.833,54.55,93,0,1.99,clear sky
309,Pisco,PE,-13.7,-76.2167,62.65,82,90,9.22,overcast clouds
310,Kavaratti,IN,10.5669,72.642,82.24,80,100,15.73,overcast clouds
311,Isetskoye,RU,56.4858,65.3226,62.19,88,62,8.95,broken clouds
312,Las Vegas,US,36.175,-115.1372,90.28,39,20,8.05,few clouds
313,Skelleftea,SE,64.7507,20.9528,59.0,69,90,6.91,overcast clouds
314,Sungurlu,TR,40.1675,34.3739,67.42,47,0,2.62,clear sky
315,Duluth,US,46.7833,-92.1066,72.18,72,75,11.5,smoke
316,Ponta Delgada,PT,37.7333,-25.6667,70.52,83,75,3.44,broken clouds
317,Canto Do Buriti,BR,-8.11,-42.9444,78.76,44,11,10.45,few clouds
318,Liverpool,GB,53.4106,-2.9779,58.95,82,90,5.01,overcast clouds
319,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,94,0,16.11,clear sky
320,Faya,SA,18.3851,42.4509,68.11,63,89,5.61,overcast clouds
321,Athabasca,CA,54.7169,-113.2854,75.02,46,2,4.27,clear sky
322,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,0,9.22,clear sky
323,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds
324,Ostrovnoy,RU,68.0531,39.5131,47.39,89,100,14.16,overcast clouds
325,Maraa,BR,-1.8333,-65.3667,69.85,78,77,2.19,broken clouds
326,Challans,FR,46.8436,-1.8749,58.91,77,100,7.47,overcast clouds
327,Broadstairs,GB,51.3591,1.4394,58.59,87,61,1.99,broken clouds
328,Ulaanbaatar,MN,47.9077,106.8832,66.33,55,20,20.13,few clouds
329,Wajima,JP,37.4,136.9,81.28,83,75,3.44,broken clouds
330,Zhezkazgan,KZ,47.8043,67.7144,78.69,18,5,3.13,clear sky
331,Bilibino,RU,68.0546,166.4372,42.3,56,100,9.08,overcast clouds
332,Capim Grosso,BR,-11.3811,-40.0128,66.79,90,96,12.19,overcast clouds
333,Gamba,GA,-2.65,10.0,72.37,83,84,4.09,broken clouds
334,Jacareacanga,BR,-6.2222,-57.7528,71.62,57,7,1.48,clear sky
335,Tuatapere,NZ,-46.1333,167.6833,49.82,95,100,2.33,overcast clouds
336,Isla Mujeres,MX,21.2311,-86.731,84.25,81,48,9.91,scattered clouds
337,Vagur,FO,61.4732,-6.8119,49.24,83,100,14.34,overcast clouds
338,Vao,NC,-22.6667,167.4833,67.53,55,3,25.12,clear sky
339,Pizarro,CO,4.9533,-77.366,78.46,86,81,3.87,broken clouds
340,Ancud,CL,-41.8697,-73.8203,35.13,84,5,4.68,clear sky
341,Bela Vista,BR,-22.1089,-56.5211,55.78,25,100,4.23,overcast clouds
342,Mayo,US,38.8876,-76.5119,78.17,70,20,4.0,few clouds
343,Cidreira,BR,-30.1811,-50.2056,51.55,77,0,11.41,clear sky
344,Djibo,BF,14.1022,-1.6306,84.83,58,86,14.09,overcast clouds
